"arv";"hi1";"hi2";"xvisc1";"xvisc2";"dap1";"dap2";"ht1";"ht2";"disc1";"disc2";"dmte1";"dmte2";"vmte"
6;16;22;0,016713273;0,015456636;15,57;15,57;25,6;25,6;7,55;3,74;8,16747452938985;4,12848711175058;0,0189724845806979
7;1,3;2;0,006660176;0,009424778;13,63;13,63;24,5;24,5;12,73;12,23;12,7444811644779;12,5384662614658;0,00874182919051115
7;2;3;0,009424778;0,011561061;13,63;13,63;24,5;24,5;12,23;12,12;12,5384662614658;12,1517620752238;0,0119670568777986
7;3;4;0,011561061;0,010807079;13,63;13,63;24,5;24,5;12,12;11,73;12,1517620752238;11,8381941560947;0,0112616323925301
7;4;5;0,010807079;0,011058406;13,63;13,63;24,5;24,5;11,73;11,5;11,8381941560947;11,4588797469306;0,0106890818652829
7;5;6;0,011058406;0,009927433;13,63;13,63;24,5;24,5;11,5;11,11;11,4588797469306;11,1512378792967;0,0100041220462005
7;6;8;0,009927433;0,018598229;13,63;13,63;24,5;24,5;11,11;10,48;11,1512378792967;10,4069652888137;0,0181971743969643
7;8;10;0,018598229;0,016838937;13,63;13,63;24,5;24,5;10,48;9,73;10,4069652888137;9,65260958829164;0,0157646133370185
7;10;13;0,016838937;0,020106193;13,63;13,63;24,5;24,5;9,73;8,43;9,65260958829164;8,31826251716031;0,0191010084118057
7;13;22;0,020106193;0,008796459;13,63;13,63;24,5;24,5;8,43;3,08;8,31826251716031;2,90056587242751;0,025525686827482
8;1,3;2;0,027017697;0,015205308;17,12;17,12;26,6;26,6;16,08;15,95;16,0256871837241;15,7718384699213;0,0138430495193767
8;2;3;0,015205308;0,018221237;17,12;17,12;26,6;26,6;15,95;15,62;15,7718384699213;15,3258839984317;0,0189808772489548
8;3;4;0,018221237;0,018849556;17,12;17,12;26,6;26,6;15,62;15,09;15,3258839984317;14,9577199223947;0,0179621239123019
8;4;5;0,018849556;0,017592919;17,12;17,12;26,6;26,6;15,09;14,87;14,9577199223947;14,5409700886035;0,0171220172282411
8;5;6;0,017592919;0,017215928;17,12;17,12;26,6;26,6;14,87;14,66;14,5409700886035;14,1867918542336;0,0161669823334915
8;6;7;0,017215928;0,0155823;17,12;17,12;26,6;26,6;14,66;14,07;14,1867918542336;13,7515424596972;0,0153780968643083
8;7;8;0,0155823;0,014953981;17,12;17,12;26,6;26,6;14,07;13,74;13,7515424596972;13,3575685522066;0,0144277062207796
8;8;9;0,014953981;0,014074335;17,12;17,12;26,6;26,6;13,74;13,15;13,3575685522066;12,9269101171939;0,013584770780991
8;9;10;0,014074335;0,013194689;17,12;17,12;26,6;26,6;13,15;12,96;12,9269101171939;12,5506370761206;0,0126913962991175
8;10;13;0,013194689;0,035437165;17,12;17,12;26,6;26,6;12,96;11,55;12,5506370761206;11,0918002540216;0,0329361852510217
8;13;16;0,035437165;0,027017697;17,12;17,12;26,6;26,6;11,55;9,9;11,0918002540216;9,39877142723654;0,025075455332617
