arv;hi1;hi;l1;l2;xvisc
41;2;3;518;789;0,034054864
41;3;4;517;757;0,030159289
41;4;5;515;748;0,029279644
41;5;6;513;739;0,028399998
41;6;7;513;726;0,026766369
41;7;8;513;703;0,023876104
41;8;9;510;695;0,023247786
41;9;11;509;842;0,041846014
41;11;13;508;792;0,035688493
41;13;16;505;865;0,045238934
41;16;20;502;814;0,039207076
41;20;25;501;706;0,02576106
42;0,2;1,3;585;799;0,026892033
42;1,3;2;584;699;0,014451326
42;2;3;583;738;0,019477874
42;3;5;583;875;0,036693802
42;5;7;580;846;0,033426546
42;7;9;579;814;0,029530971
42;9;12;578;860;0,035437165
42;12;16;577;854;0,034808847
42;16;23;572;799;0,028525661
44;0,2;1,3;478;872;0,0495115
44;1,3;2;474;693;0,027520352
44;2;3;473;759;0,03593982
44;3;4;473;734;0,032798227
44;4;5;471;706;0,029530971
44;5;6;469;692;0,028023006
44;6;7;468;682;0,026892033
44;7;9;467;838;0,046621235
44;9;11;467;778;0,039081413
44;11;14;465;837;0,046746899
44;14;18;464;784;0,040212386
44;18;23;462;640;0,02236814
45;0,2;3;460;875;0,052150438
45;3;6;464;844;0,047752208
45;6;10;457;860;0,050642474
45;10;16;449;862;0,051899111
45;16;23;443;667;0,02814867
46;0,2;2;476;732;0,032169909
46;2;5;473;822;0,043856633
46;5;9;471;853;0,048003536
46;9;16;468;899;0,054161057
46;16;22;464;634;0,02136283
47;0,2;7;461;868;0,051145128
47;7;16;454;717;0,033049555
48;0,2;2;468;846;0,047500881
48;2;4;466;827;0,045364598
48;4;6;465;788;0,040589377
48;6;9;463;887;0,053281411
48;9;13;463;894;0,054161057
48;13;19;461;842;0,047877872
48;19;22;535;625;0,011309734
49;0,2;1,3;443;732;0,036316811
49;1,3;2;443;611;0,021111503
49;2;4;442;868;0,053532739
49;4;6;442;840;0,050014155
49;6;8;438;783;0,043353979
49;8;10;484;776;0,036693802
49;10;13;483;851;0,046244244
49;13;17;480;836;0,044736279
49;17;23;477;735;0,032421236
50;0,2;2;480;800;0,040212386
50;2;4;480;799;0,040086722
50;4;7;475;869;0,0495115
50;7;10;445;795;0,043982297
50;10;14;472;824;0,044233625
50;14;18;471;722;0,03154159
50;18;24;465;650;0,023247786
51;0,2;1,3;515;874;0,045113271
51;1,3;2;514;703;0,02375044
51;2;3;513;768;0,032044245
51;3;4;513;750;0,029782298
51;4;5;512;728;0,027143361
51;5;6;510;722;0,026640706
51;6;7;510;705;0,024504423
51;7;9;509;860;0,044107961
51;9;11;508;808;0,037699112
51;11;14;503;885;0,048003536
51;14;19;500;905;0,050893801
51;19;25;500;700;0,025132741
52;0,2;2;463;900;0,05491504
52;2;4;460;875;0,052150438
52;4;6;460;890;0,054035394
52;6;8;459;903;0,055794686
52;8;12;453;802;0,043856633
52;12;17;452;846;0,0495115
52;17;24;445;655;0,026389378
53;0,2;2;495;805;0,038955749
53;2;4;494;878;0,048254863
53;4;7;492;850;0,044987607
53;7;11;488;860;0,046746899
53;11;17;487;819;0,04172035
53;17;22;485;591;0,013320353
54;0,2;6;445;874;0,05390973
54;6;17;442;823;0,047877872
55;0,2;3;457;828;0,046621235
55;3;7;457;873;0,052276102
55;7;13;456;871;0,052150438
55;13;21;455;693;0,029907962
56;0,2;2;435;750;0,039584067
56;2;5;435;876;0,055417694
56;5;8;432;791;0,045113271
56;8;13;430;875;0,055920349
56;13;22;427;798;0,046621235
57;0,2;2;408;770;0,045490262
57;2;4;406;747;0,042851324
57;4;7;404;841;0,05491504
57;7;11;403;874;0,059187606
57;11;17;401;861;0,057805305
57;17;23;399;611;0,026640706
58;0,2;1,3;422;715;0,036819466
58;1,3;3;421;786;0,045867253
58;3;5;419;810;0,049134509
58;5;7;414;766;0,044233625
58;7;10;413;871;0,057553977
58;10;13;413;770;0,044861943
58;13;17;412;755;0,043102651
58;17;25;410;721;0,039081413
59;0,2;1,3;454;731;0,034808847
59;1,3;3;446;854;0,051270792
59;3;5;444;896;0,056799995
59;5;7;442;809;0,04611858
59;7;9;438;776;0,042474333
59;9;12;437;848;0,051647783
59;12;16;435;837;0,05051681
59;16;21;433;713;0,035185838
60;0,2;2;415;755;0,04272566
60;2;4;415;755;0,04272566
60;4;7;413;826;0,051899111
60;7;10;406;854;0,05629734
60;10;15;405;723;0,039961059
60;15;23;402;699;0,037322121
61;0,2;2;483;860;0,047375217
61;2;4;483;840;0,044861943
61;4;6;480;795;0,039584067
61;6;9;476;884;0,051270792
61;9;13;472;899;0,053658403
61;13;16;470;694;0,02814867
61;16;23;470;735;0,033300882
62;0,2;3;465;880;0,052150438
62;3;6;464;820;0,044736279
62;6;10;461;814;0,044359288
62;10;15;456;782;0,040966368
62;15;23;454;686;0,02915398
64;0,2;4;398;790;0,049260173
64;4;9;395;765;0,046495571
64;9;14;394;645;0,03154159
64;14;22;485;635;0,018849556
63;0,2;2;442;883;0,055417694
63;2;4;440;788;0,04373097
63;4;7;440;867;0,053658403
63;7;11;436;875;0,055166367
63;11;17;434;858;0,053281411
63;17;24;432;593;0,020231857
65;0,2;3;428;855;0,053658403
65;3;7;426;904;0,060067252
65;7;12;424;864;0,055292031
65;12;24;420;849;0,05390973
66;0,2;1,3;579;842;0,033049555
66;1,3;2;575;728;0,019226547
66;2;3;575;813;0,029907962
66;3;4;574;764;0,023876104
66;4;5;569;566;-0,000376991
66;5;6;565;749;0,023122122
66;6;7;572;741;0,021237166
66;7;8;570;723;0,019226547
66;8;10;570;855;0,035814156
66;10;12;569;814;0,030787608
66;12;14;566;784;0,027394688
66;14;18;566;894;0,041217696
66;18;26;562;863;0,037824776
67;0,2;2;418;832;0,052024774
67;2;4;414;812;0,050014155
67;4;6;413;772;0,045113271
67;6;9;412;866;0,057051323
67;9;13;409;877;0,058810614
67;13;16;406;654;0,031164599
67;16;23;403;699;0,037196457
68;0,2;2;473;786;0,03933274
68;2;4;472;776;0,038201767
68;4;7;469;870;0,050391146
68;7;11;469;890;0,05290442
68;11;15;468;779;0,039081413
68;15;23;461;748;0,036065484
69;0,2;2;434;886;0,056799995
69;2;4;431;832;0,050391146
69;4;6;431;791;0,045238934
69;6;8;430;738;0,038704421
69;8;11;430;817;0,048631854
69;11;16;428;896;0,058810614
69;16;23;425;734;0,038830085
70;0,2;3;401;823;0,053030084
70;3;7;348;889;0,067984065
70;7;9;546;738;0,024127432
70;9;14;388;756;0,046244244
70;14;22;387;656;0,033803537
71;0,2;3;488;873;0,048380527
71;3;6;484;830;0,043479642
71;6;10;480;850;0,046495571
71;10;14;480;752;0,034180528
71;14;22;479;736;0,032295572
72;0,2;3;494;832;0,042474333
72;3;7;493;898;0,050893801
72;7;13;490;899;0,051396456
72;13;22;488;764;0,034683183
74;0,2;2;386;765;0,047626545
74;2;4;383;757;0,046998226
74;4;6;382;705;0,040589377
74;6;9;381;814;0,054412385
74;9;13;380;824;0,055794686
74;13;17;374;683;0,038830085
74;17;21;548;732;0,023122122
75;0,2;2;449;794;0,043353979
75;2;4;446;765;0,040086722
75;4;6;444;765;0,04033805
75;6;9;443;834;0,049134509
75;9;13;441;843;0,05051681
75;13;16;439;660;0,027771679
75;16;23;435;716;0,035311501
73;0,2;5;455;822;0,04611858
73;5;10;451;712;0,032798227
73;10;17;450;640;0,023876104
